Task,count
"Fault bucket , type 0
Event Name: CbsPackageServicingFailure2
Response: Not available
Cab Id: 0

Problem signature:
P1: 10.0.22000.280
P2: Microsoft-Windows-LanguageFeatures-Basic-en-gb-Package
P3: 10.0.22000.1
P4: amd64
P5: unknown
P6: 800f0825
P7: CBS Other
P8: Superseded
P9: Superseded
P10: FodHelper(LanguageFeaturesOnDemand)

Attached files:
\\?\C:\Windows\Logs\CBS\CBS.log
\\?\C:\Windows\Logs\CBS\CbsPersist_20211112071915.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20211110031942.cab
\\?\C:\WINDOWS\servicing\Sessions\Sessions.xml
\\?\C:\WINDOWS\winsxs\poqexec.log
\\?\C:\WINDOWS\inf\setupapi.dev.log

These files may be available here:


Analysis symbol: 
Rechecking for solution: 0
Report Id: 866b8105-0aa7-425d-8f53-68df869f3653
Report Status: 262148
Hashed bucket: 
Cab Guid: 0",1
"Video.UI (4412,D,50) {58E42696-7331-4095-8B56-80227223AFA4}: The database [C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9400 (0x24b8).",1
"Video.UI (4412,D,50) {58E42696-7331-4095-8B56-80227223AFA4}: The database engine attached a database (1, C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb). (Time=0 seconds) 
 
Saved Cache: 0 0 
Additional Data: lgposAttach = 00000002:00E9:0268,
dbv = 1568.20.0 (8920) 
 
Internal Timing Sequence: 
[1] 0.000002 +J(0)
[2] 0.000499 -0.000001 (1) WT +J(0) +M(C:0K, Fs:32, WS:64K # 0K, PF:8K # 0K, P:8K)
[3] 0.025558 -0.023524 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:44, WS:168K # 0K, PF:20K # 0K, P:20K)
[4] 0.000263 +J(0)
[5] -
[6] -
[7] -
[8] -
[9] 0.018065 -0.000262 (3) CM -0.017023 (1) WT +J(CM:3, PgRf:3, Rd:14/3, Dy:0/0, Lg:0/0) +M(C:0K, Fs:62, WS:236K # 0K, PF:316K # 0K, P:316K)
[10] 0.000911 -0.000747 (4) CM +J(CM:4, PgRf:23, Rd:0/4, Dy:0/0, Lg:0/0) +M(C:0K, Fs:42, WS:160K # 0K, PF:8K # 0K, P:8K)
[11] 0.000120 -0.000007 (2) CM +J(CM:2, PgRf:40, Rd:0/2, Dy:0/0, Lg:0/0) +M(C:0K, Fs:6, WS:8K # 0K, PF:64K # 0K, P:64K)
[12] 0.000011 +J(CM:0, PgRf:2, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[13] 0.000049 +J(CM:0, PgRf:54, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:5, WS:20K # 0K, PF:0K # 0K, P:0K)
[14] 0.000001 +J(0)
[15] 0.000001 +J(0)
[16] 0.000007 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0).",1
"Video.UI (4412,D,2) {58E42696-7331-4095-8B56-80227223AFA4}: The database [C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\tmp.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9400 (0x24b8).",1
Successfully scheduled Software Protection service for re-start at 2121-11-09T10:40:54Z. Reason: RulesEngine.,1
Successfully scheduled Software Protection service for re-start at 2121-11-09T10:46:33Z. Reason: RulesEngine.,1
"Faulting application name: YourPhone.exe, version: 1.19102.525.0, time stamp: 0x5dbcd5ca
Faulting module name: ntdll.dll, version: 10.0.22000.282, time stamp: 0xb594bedc
Exception code: 0xc0000374
Fault offset: 0x000000000010be99
Faulting process id: 0x3680
Faulting application start time: 0x01d7e8324ba1fb28
Faulting application path: C:\Program Files\WindowsApps\Microsoft.YourPhone_1.19102.525.0_x64__8wekyb3d8bbwe\YourPhone.exe
Faulting module path: C:\WINDOWS\SYSTEM32\ntdll.dll
Report Id: d81ee028-9fe9-4617-b625-c3e0d1aff293
Faulting package full name: Microsoft.YourPhone_1.19102.525.0_x64__8wekyb3d8bbwe
Faulting package-relative application ID: App",1
"Fault bucket , type 0
Event Name: MoAppCrash
Response: Not available
Cab Id: 0

Problem signature:
P1: Microsoft.YourPhone_1.19102.525.0_x64__8wekyb3d8bbwe
P2: praid:App
P3: 1.19102.525.0
P4: 5dbcd5ca
P5: StackHash_343c
P6: 10.0.22000.282
P7: b594bedc
P8: c0000374
P9: PCH_74_FROM_ntdll+0x00000000000A3EB4
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.037905f1-5df3-4aa5-ba44-ed0dd6ecb7e2.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c9140e4d-9860-4389-afc4-40f3997a5fc1.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.a5dd38bb-1aed-4e17-b1ca-b590c085b02d.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.69a93474-ab9f-4772-ae56-b48adf70b56b.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ffad69f5-2c33-4fc4-b85a-0c293c4ef2e6.tmp.txt
\\?\C:\Users\Sri Vatsav Redddy\AppData\Local\Temp\WER.ffbae001-487d-4073-bafb-7128dceddb77.tmp.appcompat.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_Microsoft.YourPh_9f27b8894c32155db178f8d2f6bb430c321_137d962c_cab_ebc8db47-6895-4e72-aaa1-8a9bb0fdaf9f

Analysis symbol: 
Rechecking for solution: 0
Report Id: d81ee028-9fe9-4617-b625-c3e0d1aff293
Report Status: 4
Hashed bucket: 
Cab Guid: 0",1
"Fault bucket , type 0
Event Name: MoAppCrash
Response: Not available
Cab Id: 0

Problem signature:
P1: Microsoft.YourPhone_1.19102.525.0_x64__8wekyb3d8bbwe
P2: praid:App
P3: 1.19102.525.0
P4: 5dbcd5ca
P5: StackHash_343c
P6: 10.0.22000.282
P7: b594bedc
P8: c0000374
P9: PCH_74_FROM_ntdll+0x00000000000A3EB4
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.037905f1-5df3-4aa5-ba44-ed0dd6ecb7e2.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c9140e4d-9860-4389-afc4-40f3997a5fc1.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.a5dd38bb-1aed-4e17-b1ca-b590c085b02d.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.69a93474-ab9f-4772-ae56-b48adf70b56b.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ffad69f5-2c33-4fc4-b85a-0c293c4ef2e6.tmp.txt
\\?\C:\Users\Sri Vatsav Redddy\AppData\Local\Temp\WER.ffbae001-487d-4073-bafb-7128dceddb77.tmp.appcompat.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_Microsoft.YourPh_9f27b8894c32155db178f8d2f6bb430c321_137d962c_cab_ebc8db47-6895-4e72-aaa1-8a9bb0fdaf9f

Analysis symbol: 
Rechecking for solution: 0
Report Id: d81ee028-9fe9-4617-b625-c3e0d1aff293
Report Status: 6
Hashed bucket: 
Cab Guid: 0",1
"Fault bucket , type 0
Event Name: StoreAgentScanForUpdatesFailure0
Response: Not available
Cab Id: 0

Problem signature:
P1: Update;
P2: 8024402c
P3: 22000
P4: 318
P5: Windows.Desktop
P6: 
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.da45040e-8351-40b4-8ebc-b0e0c3de5935.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2d1e9b2b-8989-4096-a18e-93d08ccfcd5c.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ac054e1b-eebb-4026-87d7-5d010cc4425a.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1af15599-8083-44e6-bdf3-d8410354a69a.tmp.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_Update;_b26311fa8c3b9974b75f213e7e2825cc4beffa_00000000_cab_e907cf73-e546-456d-a771-f34ab2652ca5

Analysis symbol: 
Rechecking for solution: 0
Report Id: e907cf73-e546-456d-a771-f34ab2652ca5
Report Status: 4
Hashed bucket: 
Cab Guid: 0",1
Successfully scheduled Software Protection service for re-start at 2121-11-09T15:39:40Z. Reason: RulesEngine.,1
"Fault bucket 1993946694748928288, type 5
Event Name: MoAppCrash
Response: Not available
Cab Id: 0

Problem signature:
P1: Microsoft.YourPhone_1.19102.525.0_x64__8wekyb3d8bbwe
P2: praid:App
P3: 1.19102.525.0
P4: 5dbcd5ca
P5: StackHash_343c
P6: 10.0.22000.282
P7: b594bedc
P8: c0000374
P9: PCH_74_FROM_ntdll+0x00000000000A3EB4
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.037905f1-5df3-4aa5-ba44-ed0dd6ecb7e2.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c9140e4d-9860-4389-afc4-40f3997a5fc1.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.a5dd38bb-1aed-4e17-b1ca-b590c085b02d.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.69a93474-ab9f-4772-ae56-b48adf70b56b.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ffad69f5-2c33-4fc4-b85a-0c293c4ef2e6.tmp.txt
\\?\C:\Users\Sri Vatsav Redddy\AppData\Local\Temp\WER.ffbae001-487d-4073-bafb-7128dceddb77.tmp.appcompat.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_Microsoft.YourPh_9f27b8894c32155db178f8d2f6bb430c321_137d962c_ebc8db47-6895-4e72-aaa1-8a9bb0fdaf9f

Analysis symbol: 
Rechecking for solution: 0
Report Id: d81ee028-9fe9-4617-b625-c3e0d1aff293
Report Status: 268435558
Hashed bucket: 40b2bc1a958891692babebf45992f920
Cab Guid: 0",1
"Fault bucket 1321454393154995544, type 5
Event Name: StoreAgentScanForUpdatesFailure0
Response: Not available
Cab Id: 0

Problem signature:
P1: Update;
P2: 8024402c
P3: 22000
P4: 318
P5: Windows.Desktop
P6: 
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.da45040e-8351-40b4-8ebc-b0e0c3de5935.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2d1e9b2b-8989-4096-a18e-93d08ccfcd5c.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ac054e1b-eebb-4026-87d7-5d010cc4425a.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1af15599-8083-44e6-bdf3-d8410354a69a.tmp.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Update;_b26311fa8c3b9974b75f213e7e2825cc4beffa_00000000_e907cf73-e546-456d-a771-f34ab2652ca5

Analysis symbol: 
Rechecking for solution: 0
Report Id: e907cf73-e546-456d-a771-f34ab2652ca5
Report Status: 268435556
Hashed bucket: 7d5d7be581c8fa440256bfc4eae20558
Cab Guid: 0",1
Beginning a Windows Installer transaction: C:\WINDOWS\TEMP\SupportAssistAgent\AutoUpdate\SupportAssistx64-3.10.4.18.msi. Client Process Id: 272.,1
"Product: Dell SupportAssist. The file C:\Program Files\Dell\SupportAssistAgent\bin\SupportAssistInstaller.exe is being used by the following process: Name: SupportAssistInstaller , Id 7120.",1
Windows Installer installed the product. Product Name: Dell SupportAssist. Product Version: 3.10.4.18. Product Language: 1033. Manufacturer: Dell Inc.. Installation success or error status: 0.,1
Ending a Windows Installer transaction: C:\WINDOWS\TEMP\SupportAssistAgent\AutoUpdate\SupportAssistx64-3.10.4.18.msi. Client Process Id: 272.,1
Beginning a Windows Installer transaction: {E0659C89-D276-4B77-A5EC-A8F2F042E78F}. Client Process Id: 2512.,1
Windows Installer installed an update. Product Name: Dell SupportAssist. Product Version: 3.10.4.18. Product Language: 1033. Manufacturer: Dell Inc.. Update Name: Dell SupportAssist. Installation success or error status: 0.,1
Ending a Windows Installer transaction: {E0659C89-D276-4B77-A5EC-A8F2F042E78F}. Client Process Id: 2512.,1
Successfully created restore point (Process = C:\WINDOWS\Temp\{90ECA7E7-7A80-4675-A656-82E525137024}\.be\DellUpdateSupportAssistPlugin.exe -q -burn.elevated BurnPipe.{8B07A6A1-9F85-4EF0-8277-B841BFC6B782} {769E4F32-1957-458D-BF14-3892B251C6EE} 740; Description = Dell SupportAssist OS Recovery Plugin for Dell Update).,1
"A volume shrink analysis was initiated on volume OS (C:). This event log entry details information about the last unmovable file that could limit the maximum number of reclaimable bytes.
 
 Diagnostic details:
 - The last unmovable file appears to be: \$Extend\$Deleted\00650000000006BA5AF4382B::$DATA
 - The last cluster of the file is: 0x1fb0007
 - Shrink potential target (LCN address): 0x148d956
 - The NTFS file flags are: ----D
 - Shrink phase: <analysis>
 
 To find more details about this file please use the ""fsutil volume querycluster \\?\Volume{24450D8E-09A9-4395-B966-4FD85C9150EA} 0x1fb0007"" command.",1
"Video.UI (4412,D,0) {58E42696-7331-4095-8B56-80227223AFA4}: The database engine started a new instance (0). (Time=0 seconds) 
 
Additional Data:
 lgposV2[] = 00000002:0001:0000 - 00000002:00E6:03B7 - 00000002:00E7:0000 - 00000002:00E7:0000 (00000000:0000:0000)
cReInits = 69
 
 
Internal Timing Sequence: 
[1] 0.019588 +J(0) +M(C:0K, Fs:587, WS:1960K # 1960K, PF:2736K # 2860K, P:2736K)
[2] 0.000312 +J(0) +M(C:0K, Fs:92, WS:368K # 368K, PF:276K # 156K, P:276K)
[3] 0.000017 +J(0) +M(C:0K, Fs:3, WS:12K # 12K, PF:64K # 60K, P:64K)
[4] 0.000618 +J(0) +M(C:0K, Fs:109, WS:432K # 432K, PF:192K # 192K, P:192K)
[5] 0.002590 +J(0) +M(C:0K, Fs:161, WS:644K # 644K, PF:24K # 24K, P:24K)
[6] 0.001675 +J(0) +M(C:0K, Fs:52, WS:208K # 208K, PF:56K # 56K, P:56K)
[7] 0.012759 -0.000005 (5) WT +J(0) +M(C:0K, Fs:582, WS:2324K # 2324K, PF:2112K # 2112K, P:2112K)
[8] 0.066305 -0.001743 (82) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:928901/750) +M(C:0K, Fs:5938, WS:3312K # 3312K, PF:1168K # 1176K, P:1168K)
[9] 0.000864 +J(0) +M(C:0K, Fs:70, WS:272K # 272K, PF:32K # 28K, P:32K)
[10] 0.001265 -0.000003 (3) WT +J(0) +M(C:0K, Fs:67, WS:-1780K # 172K, PF:-1992K # 40K, P:-1992K)
[11] 0.000021 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:49/1) +M(C:0K, Fs:2, WS:8K # 0K, PF:0K # 0K, P:0K)
[12] 0.003538 -0.003463 (2) WT +J(0) +M(C:0K, Fs:91, WS:360K # 0K, PF:56K # 0K, P:56K)
[13] 0.097689 -0.000378 (2) CM -0.085388 (24) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:8759/5) +M(C:0K, Fs:654, WS:452K # 912K, PF:584K # 656K, P:584K)
[14] 0.000013 +J(0)
[15] 0.000008 +J(0)
[16] 0.000212 -0.000001 (1) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K).",1
"Video.UI (4412,U,98) {58E42696-7331-4095-8B56-80227223AFA4}: The database engine has successfully completed recovery steps.",1
"Video.UI (4412,R,98) {58E42696-7331-4095-8B56-80227223AFA4}: The database engine has finished replaying logfile C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\edb.log. 
 
Processing Stats: 
[1] 0.062538 -0.001739 (78) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:928901/750) +M(C:0K, Fs:5781, WS:2768K # 2700K, PF:780K # 716K, P:780K). 
Log record of type 'AttachDB ' was seen most frequently (69 times)",1
Successfully scheduled Software Protection service for re-start at 2121-11-08T06:09:21Z. Reason: RulesEngine.,1
"Fault bucket 1542779583256157955, type 5
Event Name: CbsPackageServicingFailure2
Response: Not available
Cab Id: 0

Problem signature:
P1: 10.0.22000.280
P2: Microsoft-Windows-LanguageFeatures-Basic-en-gb-Package
P3: 10.0.22000.1
P4: amd64
P5: unknown
P6: 800f0825
P7: CBS Other
P8: Superseded
P9: Superseded
P10: FodHelper(LanguageFeaturesOnDemand)

Attached files:
\\?\C:\Windows\Logs\CBS\CBS.log
\\?\C:\Windows\Logs\CBS\CbsPersist_20211112071915.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20211110031942.cab
\\?\C:\WINDOWS\servicing\Sessions\Sessions.xml
\\?\C:\WINDOWS\winsxs\poqexec.log
\\?\C:\WINDOWS\inf\setupapi.dev.log
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3b3646e4-342a-4a0e-8d35-7896b7e5fa05.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c0192d73-1ac3-4ace-aee2-fe3e7c4b70c1.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1081dcac-6eb4-4ff4-be21-be176d913000.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.8ec108b4-7f6e-4134-ae5a-a2d07d6521b9.tmp.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\Critical_10.0.22000.280_ae3d4d52e4641de68bab124de656c7844da8b814_00000000_866b8105-0aa7-425d-8f53-68df869f3653

Analysis symbol: 
Rechecking for solution: 0
Report Id: 866b8105-0aa7-425d-8f53-68df869f3653
Report Status: 268435456
Hashed bucket: 4a2df2f33a2a787065690ddb62b55f03
Cab Guid: 0",1
Successfully scheduled Software Protection service for re-start at 2121-11-07T12:20:10Z. Reason: RulesEngine.,1
Successfully scheduled Software Protection service for re-start at 2121-11-07T13:12:01Z. Reason: RulesEngine.,1
"Faulting application name: Microsoft.Photos.exe, version: 2021.21100.20007.0, time stamp: 0x617093e8
Faulting module name: Lightbox.dll, version: 1.0.2110.20, time stamp: 0x61709149
Exception code: 0xc0000005
Fault offset: 0x000000000002aff6
Faulting process id: 0x2464
Faulting application start time: 0x01d7e6be02b05ad6
Faulting application path: C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21100.20007.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe
Faulting module path: C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21100.20007.0_x64__8wekyb3d8bbwe\Lightbox.dll
Report Id: 1f97a864-e15f-4298-aa1d-f6710f002bb2
Faulting package full name: Microsoft.Windows.Photos_2021.21100.20007.0_x64__8wekyb3d8bbwe
Faulting package-relative application ID: App",1
"Fault bucket , type 0
Event Name: MoAppCrash
Response: Not available
Cab Id: 0

Problem signature:
P1: Microsoft.Windows.Photos_2021.21100.20007.0_x64__8wekyb3d8bbwe
P2: praid:App
P3: 2021.21100.20007.0
P4: 617093e8
P5: Lightbox.dll
P6: 1.0.2110.20
P7: 61709149
P8: c0000005
P9: 000000000002aff6
P10: 

Attached files:
\\?\C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\LocalState\PhotosAppTracing_startedInBGMode.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.aeeafaa6-519a-4752-a790-5d62efcd292b.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.4e16a43f-3409-4d16-bb02-470e9b40074f.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.133b435f-b734-4e80-bcd9-f0f41296a2ec.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.60c0d0c9-a315-40d4-87d4-1742f2a6c4c0.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.cf78a682-4221-41d3-af7e-9f3edd18b5c4.tmp.txt
\\?\C:\Users\Sri Vatsav Redddy\AppData\Local\Temp\WER.7716f580-193b-41f9-8105-3e63a6efa14b.tmp.appcompat.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_Microsoft.Window_ddddf74ce1b3486410722ee6f0b41839d0d9270_89fb6f5b_cab_32a393d1-11fc-4eca-bb3e-502244f2ff8a

Analysis symbol: 
Rechecking for solution: 0
Report Id: 1f97a864-e15f-4298-aa1d-f6710f002bb2
Report Status: 4
Hashed bucket: 
Cab Guid: 0",1
"Fault bucket 1380406552096579565, type 5
Event Name: MoAppCrash
Response: Not available
Cab Id: 0

Problem signature:
P1: Microsoft.Windows.Photos_2021.21100.20007.0_x64__8wekyb3d8bbwe
P2: praid:App
P3: 2021.21100.20007.0
P4: 617093e8
P5: Lightbox.dll
P6: 1.0.2110.20
P7: 61709149
P8: c0000005
P9: 000000000002aff6
P10: 

Attached files:
\\?\C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\LocalState\PhotosAppTracing_startedInBGMode.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.aeeafaa6-519a-4752-a790-5d62efcd292b.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.4e16a43f-3409-4d16-bb02-470e9b40074f.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.133b435f-b734-4e80-bcd9-f0f41296a2ec.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.60c0d0c9-a315-40d4-87d4-1742f2a6c4c0.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.cf78a682-4221-41d3-af7e-9f3edd18b5c4.tmp.txt
\\?\C:\Users\Sri Vatsav Redddy\AppData\Local\Temp\WER.7716f580-193b-41f9-8105-3e63a6efa14b.tmp.appcompat.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_Microsoft.Window_ddddf74ce1b3486410722ee6f0b41839d0d9270_89fb6f5b_32a393d1-11fc-4eca-bb3e-502244f2ff8a

Analysis symbol: 
Rechecking for solution: 0
Report Id: 1f97a864-e15f-4298-aa1d-f6710f002bb2
Report Status: 268435456
Hashed bucket: bff46b766e7f691d1328307207569fed
Cab Guid: 0",1
Successfully scheduled Software Protection service for re-start at 2121-11-08T05:48:04Z. Reason: RulesEngine.,1
Successfully scheduled Software Protection service for re-start at 2121-11-08T05:49:02Z. Reason: RulesEngine.,1
Successfully scheduled Software Protection service for re-start at 2121-11-08T05:54:10Z. Reason: RulesEngine.,1
Successfully scheduled Software Protection service for re-start at 2121-11-08T06:21:16Z. Reason: RulesEngine.,1
"Video.UI (4412,R,98) {58E42696-7331-4095-8B56-80227223AFA4}: The database [C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9400 (0x24b8).",1
"The description for Event ID 5008 from source AVLogEvent cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

4637
0

The message resource is present but the message was not found in the message table
",1
Successfully scheduled Software Protection service for re-start at 2121-11-08T08:10:33Z. Reason: RulesEngine.,1
"The Software Protection service has successfully installed the license.
License Title=Office 16 UL oob License (Private)
License Id=8bfe29b2-5109-4d69-9a05-54048b1ce2b4",1
Successfully scheduled Software Protection service for re-start at 2121-11-08T08:35:02Z. Reason: RulesEngine.,1
Successfully scheduled Software Protection service for re-start at 2121-11-08T12:48:59Z. Reason: RulesEngine.,1
Successfully scheduled Software Protection service for re-start at 2121-11-08T12:59:50Z. Reason: RulesEngine.,1
Successfully scheduled Software Protection service for re-start at 2121-11-08T14:36:56Z. Reason: RulesEngine.,1
"Video.UI (4412,P,98) {58E42696-7331-4095-8B56-80227223AFA4}: The database engine (10.00.22000.0000) is starting a new instance (0).",1
"Video.UI (4412,R,98) {58E42696-7331-4095-8B56-80227223AFA4}: The database engine is initiating recovery steps.",1
"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL phone License (Private)
License Id=24d25c7a-f907-4b3d-bc3d-39e93ec17a95",1
"Video.UI (16960,R,98) {0A957B36-4E47-4B4A-8930-8C2019067CC9}: The database engine is initiating recovery steps.",1
"The Software Protection service has successfully installed the license.
License Title=Windows(R) UL store License (Private)
License Id=a2d6e930-1438-454f-9d67-291bfe8b0199",1
Successfully scheduled Software Protection service for re-start at 2122-10-03T03:13:58Z. Reason: RulesEngine.,1
Successfully scheduled Software Protection service for re-start at 2122-10-02T19:07:20Z. Reason: RulesEngine.,1
"Video.UI (10440,P,98) {73545EA8-0ABA-487D-AE92-DC4E93C352EF}: The database engine (10.00.22000.0000) is starting a new instance (0).",1
"Video.UI (10440,R,98) {73545EA8-0ABA-487D-AE92-DC4E93C352EF}: The database engine is initiating recovery steps.",1
"Video.UI (10440,R,98) {73545EA8-0ABA-487D-AE92-DC4E93C352EF}: The database [C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9400 (0x24b8).",1
"Video.UI (10440,R,98) {73545EA8-0ABA-487D-AE92-DC4E93C352EF}: The database engine has finished replaying logfile C:\Users\Sri Vatsav Redddy\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\edb.log. 
 
Processing Stats: 
[1] 0.011851 -0.000740 (26) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:287976/181) +M(C:0K, Fs:1917, WS:1500K # 1436K, PF:424K # 360K, P:424K). 
Log record of type 'AttachDB ' was seen most frequently (20 times)",1
"Video.UI (10440,U,98) {73545EA8-0ABA-487D-AE92-DC4E93C352EF}: The database engine has successfully completed recovery steps.",1
